Date,ESGE,ESGV,SUSB,VSGX,XVV
2016-08-01,25.294633865356445,,,,
2016-09-01,25.809297561645508,,,,
2016-10-01,25.437843322753906,,,,
2016-11-01,24.439844131469727,,,,
2016-12-01,24.289920806884766,,,,
2017-01-01,25.883312225341797,,,,
2017-02-01,26.71796989440918,,,,
2017-03-01,27.507749557495117,,,,
2017-04-01,27.96546745300293,,,,
2017-05-01,28.701398849487305,,,,
2017-06-01,28.831533432006836,,,,
2017-07-01,30.65989112854004,,,,
2017-08-01,31.412601470947266,,22.68278694152832,,
2017-09-01,31.40582275390625,,22.610868453979492,,
2017-10-01,32.31901168823242,,22.710800170898438,,
2017-11-01,32.567657470703125,,22.639251708984375,,
2017-12-01,33.40399932861328,,22.634531021118164,,
2018-01-01,36.58534622192383,,22.60527992248535,,
2018-02-01,34.717857360839844,,22.468769073486328,,
2018-03-01,34.662933349609375,,22.49567413330078,,
2018-04-01,33.55525588989258,,22.49282455444336,,
2018-05-01,32.580318450927734,,22.54683494567871,,
2018-06-01,30.804380416870117,,22.52939224243164,,
2018-07-01,31.955711364746094,,22.60475730895996,,
2018-08-01,31.13605499267578,,22.746931076049805,,
2018-09-01,30.758033752441406,,22.724945068359375,,
2018-10-01,28.32394027709961,44.52452850341797,22.690467834472656,43.2852668762207,
2018-11-01,29.81758689880371,45.444732666015625,22.692121505737305,43.93532943725586,
2018-12-01,28.277841567993164,41.2175407409668,22.83287811279297,41.32576370239258,
2019-01-01,31.82691192626953,44.9447135925293,23.22212028503418,44.86238098144531,
2019-02-01,31.4997615814209,46.4444694519043,23.26057243347168,45.52431106567383,
2019-03-01,31.839065551757812,47.18473815917969,23.531543731689453,45.52431106567383,
2019-04-01,32.52794647216797,49.34071350097656,23.579195022583008,47.050296783447266,
2019-05-01,30.406150817871094,46.256919860839844,23.769140243530273,44.58673095703125,
2019-06-01,31.78017807006836,49.30215835571289,24.000619888305664,46.58371353149414,
2019-07-01,31.403385162353516,50.476661682128906,24.025718688964844,46.295204162597656,
2019-08-01,30.140840530395508,49.587032318115234,24.29313087463379,45.45622253417969,
2019-09-01,30.64962387084961,50.19623565673828,24.285053253173828,46.45546340942383,
2019-10-01,31.99696922302246,51.58151626586914,24.39010238647461,48.4886360168457,
2019-11-01,32.11003112792969,53.6490592956543,24.381582260131836,49.01001739501953,
2019-12-01,33.85308837890625,54.91093063354492,24.428516387939453,50.678443908691406,
2020-01-01,32.60371398925781,55.3472785949707,24.76715850830078,49.54767608642578,
2020-02-01,31.3360595703125,51.12727737426758,24.868505477905273,46.50167465209961,
2020-03-01,26.284643173217773,44.626731872558594,24.097990036010742,39.29248809814453,
2020-04-01,28.24374771118164,50.7305908203125,24.72425651550293,42.33543014526367,
2020-05-01,29.03122901916504,53.71186828613281,25.082590103149414,44.3627815246582,
2020-06-01,30.80786895751953,55.119422912597656,25.293203353881836,45.9980583190918,
2020-07-01,33.884429931640625,58.75286102294922,25.495168685913086,48.33462142944336,
2020-08-01,34.773834228515625,63.25570297241211,25.511037826538086,50.47170639038086,
2020-09-01,34.42580795288086,60.63640213012695,25.51392936706543,49.67271041870117,
2020-10-01,35.03485870361328,59.57929611206055,25.497234344482422,49.08494567871094,24.568092346191406
2020-11-01,38.157447814941406,66.2713851928711,25.65104103088379,54.61087417602539,27.242002487182617
2020-12-01,40.58397674560547,69.05648040771484,25.69438362121582,57.35932159423828,28.228113174438477
2021-01-01,42.29646301269531,68.91842651367188,25.733762741088867,57.939395904541016,28.050783157348633
2021-02-01,42.510921478271484,70.52806854248047,25.625511169433594,59.03920364379883,28.84952735900879
2021-03-01,42.218482971191406,72.82897186279297,25.589920043945312,59.7302360534668,29.975072860717773
2021-04-01,42.86185073852539,77.01277160644531,25.69045066833496,61.45973587036133,31.63443946838379
2021-05-01,43.622188568115234,76.9533920288086,25.7843017578125,63.166690826416016,31.806509017944336
2021-06-01,44.012107849121094,79.15036010742188,25.730022430419922,62.571693420410156,32.571903228759766
2021-07-01,41.373023986816406,81.1771469116211,25.81401252746582,62.17605209350586,33.438316345214844
2021-08-01,42.28415298461914,83.77593231201172,25.797239303588867,63.31618118286133,34.56795883178711
2021-09-01,40.599056243896484,79.41157531738281,25.741718292236328,60.682098388671875,32.81305694580078
2021-10-01,41.020328521728516,85.27621459960938,25.60381507873535,62.545650482177734,35.23535919189453
2021-11-01,39.28624725341797,84.35113525390625,25.507402420043945,60.02961730957031,35.1061897277832
2021-12-01,38.94335174560547,87.4247817993164,25.48047637939453,61.19389724731445,36.497314453125
2022-01-01,39.900001525878906,81.40630340576172,25.249040603637695,59.660030364990234,34.43416976928711
2022-02-01,37.91999816894531,78.65251922607422,25.044696807861328,57.585243225097656,33.218963623046875
2022-03-01,36.72999954223633,80.89745330810547,24.574562072753906,57.056575775146484,34.234954833984375
2022-04-01,34.09000015258789,76.30000305175781,24.32132911682129,54.16999816894531,32.400001525878906
